pubchem_cid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
119,9.70263888888889,9.70263888888889,0.1909722222222221,-0.7727314814814814,0.520009216360191,8.714285714285714,103.121,94.049,103.063328528,42,0,0.3028891240181524,-0.4812297935234415,0.4812297935234415,0.3028891240181524,1.7142857142857142,2.2857142857142856,2.4285714285714284,16.36512318626024,10.313142012704676,1.905211148994873,-1.8557822913892632,1.8164359812265247,-2.021253741771129,5.660459659946582,-0.1365762348098161,1.6121972227029933,2.8219389370591843,62.710134480364864,5.698670612749269,4.05413249871309,4.05413249871309,3.270055610029662,2.189532624039047,2.189532624039047,1.28596706841144,1.28596706841144,0.5947663120195236,0.5947663120195236,0.2532877977688784,0.2532877977688784,-0.5700000000000001,29.01955000865388,6.43,3.614162062615101,5.43,42.12972392027186,10.84019487200289,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,12.965578028838586,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,12.84164324585202,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.62058908870513,4.794537184071822,0.0,12.84164324585202,0.0,0.0,0.0,0.0,63.31999999999999,5.969305287951849,4.794537184071822,0.0,6.4208216229260096,12.965578028838586,0.0,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,9.70263888888889,7.989027777777777,5.013472222222222,-0.7727314814814814,0.0,0.7696759259259257,0.4645833333333333,0.0,0.75,7,3,3,0,0,0,0,0,0,0,0,0,2,2,3,0,3,0,0,0,0,0,3.319866008945014,0,-0.1900999999999998,25.924199999999995,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,10.039326341647769,10.039326341647769,0.4641203703703702,-0.9551388888888884,0.4638861120098108,13.11111111111111,132.16299999999998,120.067,132.089877624,54,0,0.3199681714408992,-0.4800864426703185,0.4800864426703185,0.3199681714408992,1.6666666666666667,2.2222222222222223,2.555555555555556,16.367538199481835,10.15964467309787,2.0824615595495035,-2.019086619343066,1.9058184691029088,-2.29916456725365,5.72424770166583,-0.1381952910519385,1.822759080813784,3.2659073992264416,94.95878455585176,7.276020881938894,5.208833037092341,5.208833037092341,4.180739212552621,2.8662359918377827,2.8662359918377827,1.87563440006588,1.87563440006588,1.036449931672767,1.036449931672767,0.4612396205471508,0.4612396205471508,-0.6100000000000001,80.20139955580649,8.390000000000002,4.286691532146363,3.931271989174561,53.83455673168119,16.573862349165076,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,19.386399651764595,0.0,0.0,9.901064578912528,5.969305287951849,0.0,0.0,11.46733495432437,18.88348407499998,6.544756405912575,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,23.662429917853093,4.794537184071822,0.0,12.84164324585202,0.0,0.0,0.0,0.0,89.33999999999999,12.011146117099807,4.794537184071822,0.0,0.0,19.386399651764595,0.0,0.0,0.0,0.0,0.0,16.573862349165076,0.0,0.0,10.039326341647769,8.242807067271354,10.275922146636432,-0.9551388888888884,-0.7420833333333337,1.1381944444444445,0.5009722222222223,0.0,0.8,9,5,4,0,0,0,0,0,0,0,1,0,3,3,4,0,4,0,0,0,0,1,3.996149106078666,0,-0.8627999999999987,33.89959999999999,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,9.737916666666669,9.737916666666669,0.1655092592592593,-3.750578703703704,0.4146177358421434,11.714285714285714,142.201,136.153,141.975836052,44,0,0.2651592231120591,-0.2855191868373631,0.2855191868373631,0.2651592231120591,1.5714285714285714,2.0,2.0,32.23984803731671,10.96325513723148,1.98093680995296,-1.8509253601963085,1.814046864803149,-2.033892440224302,7.873001250145399,0.4848976358561367,1.2958363892911635,3.6021968224150824,123.87033355475133,5.914213562373095,3.5333856247646,5.244309396692242,3.0606601717798214,1.6208104197800397,3.862431259340118,1.0096452284949702,3.0289356854849103,0.349240852501722,1.595445115010332,0.1153604282963792,1.038243854667413,0.2599999999999999,18.14170945007629,7.26,2.5385500296067867,6.26,47.88789581566851,0.0,0.0,0.0,0.0,10.118126859033554,0.0,4.552749873690364,0.0,21.04658613234193,0.0,0.0,0.0,5.752853606746789,5.752853606746789,12.9705468580193,22.746916007046543,0.0,0.0,0.0,0.0,11.505707213493578,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,24.47625407151288,10.118126859033554,0.0,0.0,0.0,0.0,0.0,0.0,54.370000000000005,10.118126859033554,8.417796984328938,0.0,11.505707213493578,0.0,0.0,0.0,0.0,0.0,12.628789148012991,4.552749873690364,27.416805555555555,3.574899691358025,0.0,0.0,0.0,-0.1022376543209875,0.0,0.0,0.0,-3.750578703703704,1.0,7,1,3,0,0,0,0,0,0,0,0,0,3,2,5,0,2,0,0,0,0,0,2.632839030706468,0,-0.1959999999999998,30.2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,10.160925925925923,10.160925925925923,0.2199074074074076,-0.941574074074074,0.5998689433499305,8.88888888888889,123.11099999999996,118.07099999999998,123.0320284,46,0,0.3367585014987566,-0.4775986322844119,0.4775986322844119,0.3367585014987566,1.6666666666666667,2.4444444444444446,2.7777777777777777,16.36557362766543,10.28920715653906,1.9720844457599624,-1.8700167792538385,1.9238396386862333,-1.9446054391591847,5.864417646859703,0.0696205697920088,1.9003726279897948,2.98145461404113,207.5576620543373,6.69023444431199,4.612076558222283,4.612076558222283,4.304530452640311,2.438145658332526,2.438145658332526,1.5468529639400574,1.5468529639400574,0.9084875122360976,0.9084875122360976,0.4892671880689933,0.4892671880689933,-1.38,129.22533870330605,5.751233595800525,2.2593342006647616,1.2528322001978998,51.971749067079855,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.9839785209472085,4.794537184071822,0.0,0.0,0.0,12.13273413692322,12.393687143226153,5.563451491696996,9.901064578912528,5.969305287951849,0.0,4.9839785209472085,0.0,0.0,0.0,30.08987277184637,0.0,0.0,0.0,0.0,0.0,0.0,16.059811203739763,0.0,0.0,10.357988675768818,24.52642128014937,0.0,0.0,0.0,50.19,5.969305287951849,4.794537184071822,0.0,5.563451491696996,0.0,0.0,18.46005421168776,6.06636706846161,0.0,4.9839785209472085,5.106527394840706,0.0,0.0,13.786018518518516,8.344814814814814,0.2199074074074076,-0.941574074074074,3.082129629629629,2.842037037037037,0.0,0.0,0.0,9,1,3,0,0,0,0,0,1,1,0,0,2,1,3,1,1,0,0,0,0,0,1.4437731954449224,1,0.7797999999999998,31.1963,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
942,4.137037037037037,4.137037037037037,0.6099074074074073,0.6099074074074073,0.6261518225795569,24.58333333333333,162.23600000000002,148.12399999999997,162.115698448,64,0,0.0360296665169894,-0.2993071487901655,0.2993071487901655,0.0360296665169894,1.5833333333333333,2.5,3.083333333333333,15.14357761039826,10.081262748767092,2.2141133559481085,-2.182860478290451,2.286229481365836,-2.168351546440538,5.143791621517551,0.3167124208320251,2.53042684663605,2.194591657785846,245.27530899395384,8.38890505706126,7.4024988805076894,7.4024988805076894,5.877010097711745,4.478978391673248,4.478978391673248,3.424992538747781,3.424992538747781,2.5896294359397087,2.5896294359397087,1.904487451133044,1.904487451133044,-0.89,1072.9009829736851,7.743335629015882,3.23293392609238,1.344570624512911,73.22976418910068,0.0,0.0,0.0,0.0,0.0,0.0,9.883888251797686,0.0,0.0,0.0,6.06636706846161,38.06389019460039,18.43552797237412,0.0,0.0,0.0,0.0,9.883888251797686,0.0,18.88348407499998,13.592428388589765,30.08987277184637,0.0,0.0,0.0,0.0,0.0,0.0,23.47631664038745,0.0,0.0,24.44693556669697,24.52642128014937,0.0,0.0,0.0,16.130000000000003,0.0,0.0,0.0,0.0,6.041840829147961,0.0,24.94985114346159,0.0,18.46005421168776,22.997927302936485,0.0,0.0,0.0,6.536851851851852,0.0,1.3587962962962965,0.0,4.791435185185185,6.405944822373394,1.2217866591080877,2.185185185185185,0.5,12,0,2,0,1,1,0,0,1,1,1,0,2,0,2,2,1,0,1,1,0,1,2.0861410380137766,2,1.8483,48.842000000000034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
967,10.476666666666668,10.476666666666668,0.4178240740740742,-1.339629629629629,0.472751724776492,9.454545454545457,156.09699999999998,152.06499999999997,156.017106608,58,0,0.3521523058008043,-0.4765630376106666,0.4765630376106666,0.3521523058008043,1.3636363636363635,2.0,2.4545454545454546,16.366638960693738,10.407960645014697,2.0273103171837663,-1.88815562984122,1.8130405024406813,-2.2414140033012875,5.8437773514311,0.068940334471359,1.8460467916839207,3.420649106648636,359.7091580824157,8.430721420318147,5.249308736081174,5.249308736081174,5.092224152875016,2.6633295026354,2.6633295026354,1.8065401816437645,1.8065401816437645,0.9907706155474908,0.9907706155474908,0.5839258624257574,0.5839258624257574,-1.85,243.67817650227752,7.259289617486338,2.409451488383525,1.5395541210403427,59.5144412481139,10.090505915787915,5.693927994848461,0.0,0.0,5.559266895052008,11.659048686155325,9.77851570501903,9.589074368143644,0.0,0.0,0.0,0.0,6.06636706846161,0.0,9.901064578912528,5.969305287951849,0.0,9.967957041894415,0.0,0.0,0.0,32.5983797247092,0.0,0.0,11.24901029325548,0.0,0.0,0.0,21.04378972468697,0.0,0.0,10.488465178920285,15.655441436605257,0.0,0.0,0.0,103.02,22.9122435760558,14.383611552215466,0.0,0.0,0.0,6.06636706846161,0.0,0.0,9.967957041894415,0.0,5.106527394840706,0.0,0.0,34.87254629629629,8.310787037037038,-1.9724074074074072,-1.339629629629629,0.7953703703703703,0.0,0.0,0.0,0.0,11,3,6,0,0,0,0,0,1,1,0,0,3,3,6,1,1,0,0,0,0,0,1.5900823794054115,1,-1.2386,34.64269999999999,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5.321641550138574,5.321641550138574,0.7816358024691358,0.7816358024691358,0.429543724540058,10.2,145.25,126.098,145.15789760799998,62,0,-0.003689861503756,-0.3304726675633163,0.3304726675633163,0.003689861503756,0.8,1.4,2.0,14.844314940906326,10.286356746651814,1.8504661243420848,-2.0072240009748468,1.81384239314706,-2.1941372018787386,4.485407336004311,0.6106178138954487,1.9671544718900456,2.6476048489438337,48.81290899230693,7.656854249492381,6.604448006685086,6.604448006685086,4.914213562373096,4.023603362114273,4.023603362114273,2.388010440969447,2.388010440969447,1.3653550716504104,1.3653550716504104,0.7463996399133721,0.7463996399133721,-0.12,175.07674799821407,9.88,8.880000000000003,7.8800000000000034,63.158547291842666,16.784123558330702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44149049242833,0.0,0.0,0.0,0.0,0.0,5.316788604006331,11.46733495432437,19.26246486877803,26.1790256236503,0.0,0.0,0.0,16.784123558330702,0.0,0.0,0.0,26.1790256236503,0.0,0.0,19.26246486877803,0.0,0.0,0.0,0.0,64.07,0.0,0.0,0.0,0.0,0.0,39.02066886950232,6.4208216229260096,0.0,0.0,5.316788604006331,11.46733495432437,0.0,0.0,0.0,3.285555555555556,10.631060878054926,0.0,0.0,3.374326814058957,3.7090567523305618,0.0,1.0,10,5,3,0,0,0,0,0,0,0,0,0,3,3,3,0,7,0,0,0,0,0,8.773440000000004,0,-0.3362999999999984,44.8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1103,5.37723449546054,5.37723449546054,0.7853614215793703,0.7853614215793703,0.3452806057714905,10.714285714285714,202.346,176.138,202.215746832,86,0,-0.0036898614994514,-0.3304247449307108,0.3304247449307108,0.0036898614994514,0.5714285714285714,0.9285714285714286,1.2857142857142858,14.8634405225934,10.267824116479764,1.8895208397413752,-2.0449841871551024,1.8448919048197248,-2.2207782939261898,4.522495561516029,0.5701672042294209,2.209692218593626,2.7847655305545773,86.12278797724058,10.485281374238571,9.22576835024473,9.22576835024473,6.914213562373096,5.730710143300821,5.730710143300821,3.49156383156272,3.49156383156272,2.072461852836957,2.072461852836957,1.2041241452319311,1.2041241452319311,-0.16,1347.912253342112,13.84,12.84,11.839999999999998,87.80323581864053,22.100912162337032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.95182492717949,0.0,0.0,0.0,0.0,0.0,10.633577208012662,11.46733495432437,25.68328649170404,39.26853843547545,0.0,0.0,0.0,22.100912162337032,0.0,0.0,0.0,39.26853843547545,0.0,0.0,25.68328649170404,0.0,0.0,0.0,0.0,76.1,0.0,0.0,0.0,0.0,0.0,52.11018168132747,12.84164324585202,0.0,0.0,10.633577208012662,11.46733495432437,0.0,0.0,0.0,6.721202128999748,10.75446899092108,0.0,0.0,4.628861961451247,5.895466918627925,0.0,1.0,14,6,4,0,0,0,0,0,0,0,0,0,4,4,4,0,11,0,0,0,0,0,12.693257142857144,0,-0.3565999999999975,62.31620000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1123,9.706805555555556,9.706805555555556,0.0289351851851851,-3.7991898148148144,0.4556990896241571,11.714285714285714,125.149,118.093,125.014664084,44,0,0.2656022407648306,-0.3293693413195931,0.3293693413195931,0.2656022407648306,1.5714285714285714,2.0,2.0,32.23973853460665,10.821605960676456,1.9786731860368287,-1.8588343949381327,1.7405077502069903,-2.1337073424956605,7.8531492419834175,0.4831901704937724,1.2958363892911635,3.6021968224150824,125.87033355475133,5.914213562373095,3.663522298454268,4.480018879381994,3.0606601717798214,1.7128309442270648,3.321996251753468,1.074713565339804,2.646790426829786,0.3758048897819522,1.1274146693458569,0.1489296725344106,0.4467890176032318,-0.13,18.14170945007629,6.869999999999999,2.24774250890826,5.87,42.07271984927949,5.733667477162185,0.0,0.0,0.0,10.118126859033554,0.0,4.552749873690364,0.0,8.417796984328938,0.0,0.0,0.0,6.544756405912575,5.752853606746789,12.9705468580193,10.118126859033554,0.0,0.0,5.733667477162185,0.0,12.297610012659364,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,25.268156870678663,10.118126859033554,0.0,0.0,0.0,0.0,0.0,0.0,80.39,10.118126859033554,8.417796984328938,0.0,12.297610012659364,0.0,0.0,0.0,0.0,0.0,0.0,10.286417350852547,27.32347222222222,0.0,0.0,0.0,4.775486111111111,-0.3541666666666665,0.0,0.0,-0.0289351851851851,-3.7991898148148144,1.0,7,3,4,0,0,0,0,0,0,0,0,0,3,2,5,0,2,0,0,0,0,0,2.2059987194571065,0,-1.167099999999999,25.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,8.975182843084177,8.975182843084177,0.1777133216310704,0.1777133216310704,0.79412732636072,10.833333333333334,265.362,248.226,265.11175858409,96,0,0.2249959974297038,-0.3959959313437732,0.3959959313437732,0.2249959974297038,1.4444444444444444,2.2222222222222223,2.888888888888889,32.13348096415036,10.241078347082022,2.164487108059809,-2.014540628609541,2.1318457622701885,-2.3523777804869788,7.089559884005441,-0.6891977126062213,2.6577767192559736,2.2309167535088155,553.005593291334,13.12095586463014,10.550473823592217,11.366970404519943,8.613392202930195,5.767563958531537,6.64721676978643,4.161049814841196,5.100369865741347,2.854594441277381,3.9985373307010734,1.7667778339458635,2.750856101131985,-1.53,14107.478825810707,12.91482175511278,5.409528799265306,2.6510031070491573,109.95661104659912,10.84019487200289,11.642267275834955,12.238684400761036,5.51053927361738,0.0,0.0,0.0,9.967957041894415,4.567099647791355,0.0,11.336785877934735,6.923737199690624,26.14828435874263,10.440598685398296,9.67362704263206,17.154648655769765,0.0,9.967957041894415,0.0,26.81305242821984,12.340549441675105,33.66631402347714,0.0,0.0,10.30076712495354,5.817862777835028,0.0,11.336785877934735,21.68136640124804,12.965578028838586,13.847474399381248,21.958931178246686,11.707382845230455,0.0,0.0,0.0,75.91,0.0,0.0,0.0,6.606881964512918,24.60784530467354,11.257379486545457,4.8771471937013,17.533629449547814,19.358013672998627,14.53505668968577,10.84019487200289,2.111157407407408,1.650330189174435,9.52538165574872,8.975182843084177,10.004728284832453,1.2162669343576638,0.0,2.469116643571009,4.714502708490803,0.0,0.4166666666666667,18,3,5,0,0,0,0,0,2,2,0,0,5,2,6,2,4,0,0,0,0,0,3.881283345647817,2,0.60774,70.32420000000002,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
